Ablepharus bivittatus,(MENETRIES 1832),,"E: Twin-striped Skink, Two-Streaked Snake-Eyed Skink
G: Gestreiftes Natternauge","Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus budaki,"GÖCMEN, KUMLUTAS & TOSUNOGLU 1996","Ablepharus budaki budaki GÖCMEN, KUMLUTAS & TOSUNOGLU 1996
Ablepharus budaki anatolicus SCHMIDTLER 1997",,"Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus chernovi,DAREVSKY 1953,"Ablepharus chernovi chernovi DAREVSKY 1953
Ablepharus chernovi eiselti SCHMIDTLER 1997
Ablepharus chernovi isauriensis SCHMIDTLER 1997
Ablepharus chernovi ressli SCHMIDTLER 1997",Chernov’s Skink,"Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus darvazi,JEREMČENKO & PANFILOV 1990,,,"Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus deserti,STRAUCH 1868,,Desert Lidless Skink,"Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus grayanus,(STOLICZKA 1872),,Minor Snake-eyed Skink,"Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus kitaibelii,(BIBRON & BORY ST-VINCENT 1833),"Ablepharus kitaibelii kitaibelii (BIBRON & BORY 1833)
Ablepharus kitaibelii fabichi STEPANEK 1938
Ablepharus kitaibelii fitzingeri MERTENS 1952
Ablepharus kitaibelii stepaneki FUHN 1970","E: Juniper Skink, Snake-eyed skink
G: Johanniseidechse","Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus lindbergi,WETTSTEIN 1960,,"E: Lindberg’s Twin-striped Skink, Lindberg’s Snake-Eyed Skink
G: Lindbergs Natternauge","Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus pannonicus,(FITZINGER 1824),,"E: Asian Snake-eyed Skink
G: Asiatisches Natterauge","Scincidae, Eugongylinae, Sauria (lizards)"
Ablepharus rueppellii,(GRAY 1839),"Ablepharus rueppellii rueppellii (GRAY 1839)
Ablepharus rueppellii festae PERACCA 1894","E: Rueppel’s Snake-eyed skink
G: Rueppels Johanniseidechse","Scincidae, Eugongylinae, Sauria (lizards)"
Abronia anzuetoi,CAMPBELL & FROST 1993,,Anzuetoi Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia aurita,(COPE 1869),,Cope's Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia bogerti,TIHEN 1954,,Bogert's Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia campbelli,BRODIE & SAVAGE 1993,,Campbell's Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia chiszari,SMITH & SMITH 1981,,Chiszar's Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
